"","Customer","TransDate","Quantity","PurchAmount","Cost","TransID"
"1",168118,"22.12.2011",1,129.95,33.62,129208242
"2",195888,"05.08.2012",1,69.95,20.61,131881210
"3",116611,"01.07.2007",1,49.95,24,125087665
"4",116993,"21.11.2007",1,64.95,51.75,128620560
"5",151897,"17.12.2005",1,79.95,39,128075415
"6",106540,"17.06.2008",1,69.95,22.51,128839823
"7",196618,"11.02.2011",1,79.95,33,131652868
"8",175196,"18.11.2011",1,39.95,18.66,128977670
"9",178826,"12.08.2011",1,49.95,20.78,129099677
"10",178233,"22.07.2009",1,49.95,10.5,129215423
"11",130089,"19.08.2008",1,59.95,19.66,125950542
"12",165071,"25.10.2007",1,59.95,24,128563925
"13",178831,"01.09.2009",1,99.95,50,129100119
"14",171700,"14.08.2008",1,69.95,35,128879172
"15",131803,"11.11.2008",1,39.95,11.6,126069687
"16",154716,"17.08.2007",1,39.95,19.86,128509190
"17",141246,"26.11.2009",1,24.95,5.85,127668460
"18",141039,"23.11.2009",1,219.95,60.73,127655875
"19",120131,"10.09.2007",1,39.95,11.1,125363962
"20",103823,"11.03.2005",1,53.95,19.11,124416004
"21",126522,"31.01.2008",1,59.95,23.5,125703036
"22",155988,"15.11.2010",1,29.95,16.5,128236077
"23",190387,"12.09.2009",1,49.95,25,131024249
"24",151200,"07.09.2010",1,49.95,22.5,128053508
"25",130593,"21.09.2008",1,29.95,9.5,125991867
"26",127310,"12.03.2008",1,24.95,11.5,126164186
"27",132680,"24.11.2008",1,24.95,10.25,126122554
"28",154156,"18.10.2010",1,39.95,14,128163203
"29",173882,"16.10.2010",1,29.95,12.23,131256090
"30",172556,"10.06.2011",1,39.95,13.5,128863320
"31",139744,"24.10.2009",1,89.95,44.98,127570513
"32",154841,"30.10.2010",1,99.95,43.5,128193904
"33",139990,"11.03.2009",1,29.95,19.86,127590180
"34",133924,"12.07.2008",1,99.95,36.82,126191256
"35",141691,"12.01.2009",1,99.95,37.57,127692670
"36",162004,"13.06.2007",1,119.95,59.9,128468622
